sentence	question	label
S0: answers, positive and negative reactions. So, is the heat of reaction for an endothermic reaction is positive.	Is S0 true or false?	1
S0: before now', 'alive having life; So, something that has all of the characteristics of life is considered to be alive.	Is S0 true or false?	1
S0: Right ventricle pumps blood to the lungs to be oxygenated. So, the right atrium receives oxygen-poor blood from the body, then pumps the blood into the right ventricle.	Is S0 true or false?	1
S0: Total Reading, Mathematics, Language, Social Studies, and Science. So, the field of study known as mathematics is called the language of science.	Is S0 true or false?	1
S0: Neptune -- Planet eighth in order from the sun. So, the eighth planet from our sun is neptune.	Is S0 true or false?	0
S0: Gravity from the Sun keeps all of the planets in their orbits. So, gravity is responsible for the orbits of the planets around the sun.	Is S0 true or false?	0
S0: Radiation causes a variety of health effects, including immonodeficiency, infections, cancer, and mutations. So, cancer is caused by mutations, which can be caused by pathogens, chemicals, or radiation.	Is S0 true or false?	0
S0: Lymphocytes are produced within bone marrow (a primary lymphoid organ). So, bone marrow is found inside many bones and produces lymphocytes.	Is S0 true or false?	0
S0: An electrical insulator is a material that resists the flow of electric current. So, you call materials that have high resistance to electric current electric insulators.	Is S0 true or false?	0
S0: The main difference is that soil is the main component not water. So, water is the main component of milk.	Is S0 true or false?	1
S0: C technology used in these plants is analog technology utilizing continuous current, voltage, or pneumatic signals. So, voltage is continuously changing within a circuit in an analog signal.	Is S0 true or false?	1
S0: The four stages in the cell cycle include G1, S, G2, and mitosis. So, cells have four cycles.	Is S0 true or false?	0
S0: Currents are large moving rivers of water in the ocean. So, a current is a stream of moving water that flows through the ocean.	Is S0 true or false?	0
S0: Or use the water only for toilet flushing. So, the action of flushing the toilet, performed multiple times daily, is the single biggest use of water in the home.	Is S0 true or false?	1
S0: At that time we were to have a lunar eclipse two days from then. So, two is the minimum number of times a partial lunar eclipse will occur each year.	Is S0 true or false?	1
S0: Chemical- energy stored as bonds between atoms. So, bond energy holds atoms together.	Is S0 true or false?	1
S0: The intensity of the sound is measured in decibels (dB). So, decibel is the term used to measure the intensity of sound waves.	Is S0 true or false?	0
S0: The sound waves move through each of these mediums by vibrating the molecules in the matter. So, medium is the matter through which sound waves travel.	Is S0 true or false?	0
S0: Most of these compounds were polynuclear aromatic hydrocarbons (PAHs). So, a lipid is one of a highly diverse group of compounds made up mostly of hydrocarbons.	Is S0 true or false?	1
S0: There are two compelling responses to this line of defense. So, inflammatory response is the second line of defense.	Is S0 true or false?	1
S0: Cells may enter a period of rest known as interkinesis or interphase II. So, cells may enter a period of rest known as interkinesis.	Is S0 true or false?	0
S0: Temperature normally decreases with increasing altitude. So, as altitude rises, the temperature increases in the thermosphere.	Is S0 true or false?	1
S0: There were faults on both sides. So, a fault is the fracture caused when rocks on both sides move.	Is S0 true or false?	1
S0: Disorders of the Nervous System; So, neurodevelopmental disorders happen when development of nervous system is disturbed.	Is S0 true or false?	1
S0: Like glucose, oxygen can diffuse into cells from the capillaries. So, the abnormal cells cannot carry oxygen properly and can get stuck in capillaries.	Is S0 true or false?	1
S0: A gas in a closed container will completely take the shape of the container. So, a gas assumes the shape of its container.	Is S0 true or false?	0
S0: Bones come together to form joints, most of which are in constant motion. So, joints are the location where bones come together.	Is S0 true or false?	0
S0: Opaque bodies permit no light to pass through them, but reflect light. So, opaque is the term for matter that does not let any light pass through.	Is S0 true or false?	0
S0: Atomic structure, chemical periodicity, chemical bonding, inorganic stereochemistry, acids and bases, electromotive force, coordination compounds, and nonaqueous systems. So, the atoms of a compound are held together by chemical bonds.	Is S0 true or false?	1
S0: alternating current (AC) An electric current that reverses direction in a periodic manner. So, alternating current is the term for electric current that keeps reversing direction.	Is S0 true or false?	0
S0: All snakes are carnivorous predators. So, snakes are carnivorous animals.	Is S0 true or false?	0
S0: Tornadoes can happen at any time of the year and at any time of the day. So, tornadoes can occur in any.	Is S0 true or false?	0
S0: As it rises it undergoes adiabatic temperature changes. So, ectotherms undergo a variety of changes at the cellular level to acclimatize to shifts in temperature.	Is S0 true or false?	1
S0: Cyanide is emitted to air as hydrogen cyanide (HCN) gas or in various forms associated with particulate matter. So, hydrogen is in gas form at room temperature.	Is S0 true or false?	1
S0: Snakes use their tongues to smell. So, snakes use their tongue to smell things.	Is S0 true or false?	0
S0: A typical acid-base reaction will produce an ionic compound called a salt and water. So, a(n) base is an ionic compound that produces negative hydroxide ions when dissolved in water	Is S0 true or false?	1
S0: However, many of the gene fragments, or clones, that compose the DNA array do not correspond to known genes. So, genes are composed of dna.	Is S0 true or false?	1
S0: All organic molecules have a carbon skeleton that is composed of rings or chains of carbons. So, the element carbon is present in all organic molecules.	Is S0 true or false?	0
S0: Mesopelagic or Bathyl zones are associated with continental slopes with water from 200 to 1,000 meters deep. So, the photic zone extends 200 meters deep.	Is S0 true or false?	1
S0: white blood cells ( leukocytes ) fight infections and illness. So, leukocytes blood cells are white.	Is S0 true or false?	0
S0: Disease causes. So, lifestyle diseases are diseases that are caused by choices that people make in their daily lives.	Is S0 true or false?	1
S0: Sexual Reproduction So, sexual reproduction usually occur during times of environmental stress.	Is S0 true or false?	1
S0: Unlike what happens in necrosis, this immediate phagocytosis permits no spilling of the cellular contents and prevents the development of inflammation. So, phagocytosis is the term for cellular eating.	Is S0 true or false?	1
S0: The magical Stone of Light can turn anything into gold and make matter translucent. So, translucent matter transmits light but scatters the light as it passes through.	Is S0 true or false?	1
S0: A rapidly growing tropical plant will often have a large quantity of water containing nutrients and sugar in its vascular tissues. So, vascular tissue allowed these plants to grow taller.	Is S0 true or false?	1
S0: Collisions between molecules are elastic (kinetic energy is conserved); So, because collisions are elastic, energy can be transferred between molecules during them	Is S0 true or false?	0
S0: Most of the evidence for an ancient Earth is contained in the rocks that form the Earth's crust. So, the earth's crust is composed of igneuos rock.	Is S0 true or false?	1
S0: Illustration of ionic compounds, molecules of an element and molecular compounds. So, a binary molecular compound is made up of two elements.	Is S0 true or false?	1
S0: As a result of their activity, 35 species of birds became extinct. So, around 1200 species of birds are currently at risk of extinction due to human activity.	Is S0 true or false?	1
S0: Clotting takes place in three steps. So, three steps are involved in blood clotting.	Is S0 true or false?	0
S0: mantle That portion of the Earth below the crust and So, the mantle layer of earth is located just below the crust.	Is S0 true or false?	0
S0: The Sun is the most important object in the Solar System. So, only the sun in our solar system give off their own light.	Is S0 true or false?	1
S0: Liquids take the shape of the container they are placed in and have a definite volume. So, liquid has a definite volume, but not a definite shape.	Is S0 true or false?	0
S0: Humans have 23 pairs of chromosomes, 46 in all. So, humans typically have 23 pairs pairs of chromosomes.	Is S0 true or false?	0
S0: Ridges - So, iceland sits on the mid-atlantic ridge.	Is S0 true or false?	1
S0: This is much greater than the density of nuclear matter, for example. So, density describes how much matter is in a certain amount of space.	Is S0 true or false?	1
S0: Human pedigrees Before we consider human Mendelian inheritance it is convenient to consider the symbols used to draw pedigrees. So, pedigree is utilized to analyze simple mendelian inheritance.	Is S0 true or false?	1
S0: One example is rain water harvesting. So, one example of matter is water.	Is S0 true or false?	1
S0: Summer heat increases the sugar content in fruit. So, a(n) increase in length happens to metal railroad tracks during the heat of a summer day.	Is S0 true or false?	1
S0: A mineral is a naturally occurring solid with a definite chemical composition and crystal structure. So, a mineral is described as a solid natural material with a crystal structure.	Is S0 true or false?	0
S0: Like Relenza, Tamiflu is a neuraminidase inhibitor, meaning it stops an enzyme (neuarminidase) that helps viruses spread from cell to cell. So, tamiflu inhibits spread of virus.	Is S0 true or false?	0
S0: electron A small, indivisible particle that orbits the nucleus of an atom. So, atomic orbitals are populated with subatomic particles known as electrons.	Is S0 true or false?	0
S0: Placental mammals are very active animals; possess acute senses and a relatively large brain. So, placental mammals give birth to relatively large fetuses.	Is S0 true or false?	1
S0: Alkali sinks and salt marshes are world-wide. So, the word alkali comes from the arabic al-qili, meaning “ashes of the saltwort plant from salt marshes”.	Is S0 true or false?	1
S0: The pituitary glands, nervous system and the brain . So, the pituitary gland is in the brain.	Is S0 true or false?	1
S0: Energy recovery means that the chemicals are burned and energy from the heat produced is used for some other purpose. So, heat is produced when paper is burned.	Is S0 true or false?	1
S0: Humans have feelings about their behavior even if it is conditioned or reflexive. So, reflex behaviors are the only innate behaviors in humans.	Is S0 true or false?	1
S0: During the haploid stage, the spores develop into gametophytes (or gamete-producing plants) that produce haploid gametes (eggs and sperm) by mitosis. So, the haploid gametophyte produces gametes through mitosis.	Is S0 true or false?	0
S0: Our bond is one of a kind. So, a double bond consists of one sigma bond and one pi bond.	Is S0 true or false?	1
S0: Also, trees take about this time to grow fully. So, an acorn growing into an adult tree will take the longest time to observe.	Is S0 true or false?	1
S0: Like other muscular dystrophies it is a wasting disease of muscle. So, muscular dystrophy is a a wasting disease.	Is S0 true or false?	0
S0: pressure, impulse, or force, or force applied; So, impulse is the quantity of force multiplied by the time it is applied.	Is S0 true or false?	1
S0: Ozone (0 3 ) is also oxygen, but in groups of three atoms per molecule. So, three oxygen ions make up an ozone molecule.	Is S0 true or false?	0
S0: They can only reproduce sexually. So, vertebrates reproduce sexually.	Is S0 true or false?	1
S0: The first two of these, Bacteria and Archaea, are prokaryotes, that is, cells without nuclei. So, bacteria and archaea are examples of prokaryotes.	Is S0 true or false?	0
S0: Thermosphere The outermost thermal subdivision of the atmosphere in which the air temperature increases with altitude. So, thermosphere is the upper-most atmosphere.	Is S0 true or false?	0
S0: Assortative mating may be required for sympatric speciation, meaning the evolution of a new species without geographic isolation. So, sympatric speciation is when a new species arises without geographic separation.	Is S0 true or false?	0
S0: These cells cannot be seen without the help of a microscope, but they are the building blocks of our bodies. So, cells are the specialized building blocks of your body.	Is S0 true or false?	0
S0: Thermoregulation is a survival trick that helps humans to maintain a constant body temperature. So, thermoregulation is the process when animals maintain an internal temperature.	Is S0 true or false?	0
S0: 8.2 -8.3 Cell Division is at the heart of the reproduction of cells and organisms, because cells come only from preexisting cells. So, cells come from preexisting cells.	Is S0 true or false?	0
S0: Two types of surface waves exist on solids -- Rayleigh and Love. So, there are two types of surface waves.	Is S0 true or false?	0
S0: The earliest applications of information technology have been for solving mathematical problems in science and technology. So, technology is the term for the application of science to solve problems.	Is S0 true or false?	1
S0: The nickel anode is dissolved into the electrolyte in form of nickel ions. So, a(n) electrolyte is a compound that can form ions when it dissolves in water called.	Is S0 true or false?	1
S0: Lever type hardware required. So, the long bone work as lever.	Is S0 true or false?	1
S0: The sun is a star. So, the sun is classified as a star.	Is S0 true or false?	0
S0: Of course, the Sun is the closest star to Earth. So, from earth, the sun appears brighter than any other star because the sun is the closest star	Is S0 true or false?	0
S0: Carnivores are animals that eat other animals. So, you call an animal that feeds on other animals a(n) carnivore.	Is S0 true or false?	0
S0: Simple machines can be combined together to form compound machines. So, scissors are compound machines.	Is S0 true or false?	1
S0: By the mind I always include the brain and skull--the organ of the mind--the cranium and the face; So, the cranium (skull) protect(s) the brain.	Is S0 true or false?	1
S0: The oral cavity (the mouth) is where the mechanical and chemical digestion of food begins. So, digestion begins in the mouth.	Is S0 true or false?	0
S0: Counting calories A calorie is a unit of measurement used to express the energy value of food. So, a calorie is used to express the amount of energy in food.	Is S0 true or false?	0
S0: Stratosphere-troposphere exchange and convection; So, the stratosphere is the layer above the troposphere.	Is S0 true or false?	1
S0: Considered in this course are the infections affecting the respiratory, gastrointestinal, reproductive, and urinary systems. So, kidney stones are considered a disease that affects the urinary system.	Is S0 true or false?	1
S0: If the intergalactic gas density is very low, the shell will have a larger on-average radius and a more conical form. So, gases have the lowest density.	Is S0 true or false?	1
S0: It does like a little extra water during long drought periods. So, because trees add water vapor to air, cutting down forests leads to longer periods of drought.	Is S0 true or false?	1
S0: b) Pancreatic lipases break lipids into fatty acids. So, lipids are broken down by lipases.	Is S0 true or false?	0
S0: Cytokinesis is the division of the cytoplasm, which occurs during in the later stages of mitosis. So, the cytoplasm is divided during cytokinesis.	Is S0 true or false?	0
S0: Quarks are particles that compose the more familiar protons and neutrons. So, protons and neutrons are made of quarks, which are fundamental particles of matter.	Is S0 true or false?	0
S0: In positive electric fields, the lines are directed radially outward. So, since the electric field lines point radially away from the charge, they are perpendicular to equipotential lines.	Is S0 true or false?	1
S0: Starting week 8, all students will attend the CS and VCD sessions. So, by 8 weeks, all major organs start developing.	Is S0 true or false?	1
S0: The first alloy (or mixture of metals) was bronze, which is a mixture of copper and tin. So, bronze is an alloy of copper and tin.	Is S0 true or false?	0
S0: Digestion begins in the mouth with the salivary glands. So, digestion begins in the mouth.	Is S0 true or false?	0
S0: This allows selection to act upon the traits these polymorphisms produce. So, natural selection is the process that allows organisms with better traits to survive and produce.	Is S0 true or false?	1
S0: Their rough faces often make excellent surfaces for grinding plant seeds. So, ground tissue makes up most of the inside of a plant.	Is S0 true or false?	1
S0: Flowers are tiny, brown and wind pollinated. So, flowers pollinated by wind generally lack brightly colored parts.	Is S0 true or false?	1
S0: Deductive logic reasons from general principles to a particular fact. So, making a specific statement based on a general principle is the definition of deductive reasoning.	Is S0 true or false?	0
S0: The great majority of the cells in the blood are red blood cells. So, red blood cells are the most numerous blood cells.	Is S0 true or false?	0
S0: There are four valves in the heart. So, there are four valves in the heart.	Is S0 true or false?	0
S0: The deadline time was established approximately two weeks before the last class period. So, the fetal period lasts approximately 30 weeks weeks.	Is S0 true or false?	1
S0: Many (if not most) birds have four cone classes. So, birds have four limbs.	Is S0 true or false?	1
S0: Urine is formed in the kidneys , waste-filtering organs located in the mid-back, just below the rib cage. So, urine is the term for liquid waste formed by kidneys.	Is S0 true or false?	0
S0: Index Ozone is a gaseous molecule consisting of three atoms of oxygen (O3). So, three oxygen ions make up an ozone molecule.	Is S0 true or false?	0
S0: Tornadoes can form anywhere, at any time of the day, and at any time of the year. So, tornadoes can occur in any.	Is S0 true or false?	0
S0: I grind until most tissue fragments are very small. So, ground tissue makes up most of the inside of a plant.	Is S0 true or false?	1
S0: The next layer of the Earth is referred to as the outer core. So, the outer core of the earth is molten.	Is S0 true or false?	1
S0: Study of polymerization kinetics of bacterial cellulose through gel permeation Chromatography. So, cellulose is created by the polymerization of glucose.	Is S0 true or false?	1
S0: Interphase pairing A weak chromosome pairing interaction occurs even in interphase cells. So, the chromosomes duplicate in the interphase phase.	Is S0 true or false?	1
S0: spring tides and neap tides; So, spring tides are created when the sun and moon's tides match.	Is S0 true or false?	1
S0: A complex protist with many organelles. So, many scientists think protists are the oldest eukaryotes.	Is S0 true or false?	1
S0: This under water lava is called pillow lava because of its shape. So, lava that enters the water is called pillow lava.	Is S0 true or false?	0
S0: Decomposers break down detritus, nonliving organic matter, into inorganic matter. So, decomposers release inorganic molecules once they have broken down the dead organisms.	Is S0 true or false?	0
S0: Mafic rocks contain more silica than felsic rocks. So, felsic igneous rocks contain felsic minerals, typically contain aluminum and sodium and are high in silica.	Is S0 true or false?	1
S0: The yeast turns the sugars into alcohol and the wort into beer. So, beer brewers add yeast to the wort to to make alcohol.	Is S0 true or false?	0
S0: If an electron is removed a cation is formed. So, cations are formed by the loss of one or two electrons from an element.	Is S0 true or false?	0
S0: Solutions Solutions are homogenous mixtures of two or more substances. So, solution is the term for a homogeneous mixture of two or more substances.	Is S0 true or false?	0
S0: Mechanical waves transfer energy through matter called the medium . So, matter that mechanical wave energy can only travel through is medium.	Is S0 true or false?	0
S0: A solvent is the liquid in a solution that dissolves the substance in the solution. So, a solution forms when a solute dissolves in a solvent.	Is S0 true or false?	0
S0: Skin Mesh Human skin has a layered structure consisting of the dermis and epidermis. So, the skin is made of two layers: epidermis and dermis.	Is S0 true or false?	0
S0: Materials that stop electricity from flowing are called insulators. So, you call materials that have high resistance to electric current electric insulators.	Is S0 true or false?	0
S0: 9. Explain how chemoautotrophs differ from photosynthetic autotrophs. So, photoautotrophs and chemoautotrophs are two basic types of autotrophs.	Is S0 true or false?	1
S0: The heart has four valves and the other two are the mitral and the tricuspid valves. So, there are four valves in the heart.	Is S0 true or false?	0
S0: Angiosperm, flowering plants with encased seeds, changed the face of the planet. So, angiosperms is the term for flowering seed plants.	Is S0 true or false?	0
S0: The two enzymes differ at one amino acid position in the protein. So, many enzymes are simple proteins consisting entirely of one or more amino acid chains.	Is S0 true or false?	1
S0: When waves combine to make a larger wave the effect is called constructive interference; So, constructive interference is when two waves combine to create a larger wave.	Is S0 true or false?	0
S0: On the origins of deep and bottom waters of the Indian Ocean. So, deep currents are caused by differences in density at the top and bottom of the ocean.	Is S0 true or false?	1
S0: Volume, is the space that matter takes up. So, the term volume means the amount of space matter takes up.	Is S0 true or false?	0
S0: Like saturated fats, trans fats increase the risk of heart disease by raising blood cholesterol levels. So, trans fats have been implicated in the presence of heart disease.	Is S0 true or false?	0
S0: Metallic solids are repeating units made up of metal atoms. So, metallic solids are composed entirely of metallic atoms.	Is S0 true or false?	0
S0: At sea, when the wind is blowing the surface of the ocean the waves are tossed. So, ocean waves travel(s) at the interface between the sea surface and the atmosphere.	Is S0 true or false?	1
S0: It is an excellent tool for visualizing electric field and equipotential lines. So, since the electric field lines point radially away from the charge, they are perpendicular to equipotential lines.	Is S0 true or false?	1
S0: The Valves of the Heart Shown here are the four valves of the heart. So, there are four valves in the heart.	Is S0 true or false?	0
S0: There, the current sinks deep, moves southward and flows into the southern Atlantic Ocean and beyond. So, a current is a stream of moving water that flows through the ocean.	Is S0 true or false?	1
S0: consists of two lobes connected by an isthmus and surrounded by a capsule (double layers of CT). So, the pleura that surrounds the lungs consists of two layers.	Is S0 true or false?	1
S0: There, it is reabsorbed into the body via the circulatory system. So, hormones generally travel through the circulatory system system of the body.	Is S0 true or false?	1
S0: Plants play a fundamental role in forming the delicate balance needed to sustain ecosystems across the globe. So, beneficial fungi play a crucial role in balance of ecosystems.	Is S0 true or false?	1
S0: Adult-onset diabetes Also known as Type II diabetes or noninsulin-dependent diabetes. So, type 2 diabetes is also known as noninsulin-dependent or adult-onset diabetes.	Is S0 true or false?	0
S0: Such people are in a diseased condition of life. So, lifestyle diseases are diseases that are caused by choices that people make in their daily lives.	Is S0 true or false?	1
S0: Carbohydrates yield four calories per gram, proteins yield four calories per gram, and fats yield nine calories per gram. So, one gram of proteins provides four calories of energy.	Is S0 true or false?	0
S0: Facial expressions are a critical part of communication because they convey the emotions and tone of the conversation. So, human facial expressions can communicate emotions.	Is S0 true or false?	0
S0: Duodenum site of most intestinal digestion. So, most digestion is completed in the duodenum.	Is S0 true or false?	0
S0: Most pathogens are killed at lower temperatures. So, water can be boiled to kill giardia and most other pathogens.	Is S0 true or false?	1
S0: These opposite charges attract and balance one another, leaving the atom neutral overall. So, opposite charges attract one another.	Is S0 true or false?	0
S0: This process affects the circulation of heat and moisture in the atmosphere and thus influences the world's weather and climatic patterns. So, uneven heating of the atmosphere form weather patterns.	Is S0 true or false?	1
S0: Ionic bonds are formed when atoms become ions by gaining or losing electrons. So, when an atom gains or loses an electron it becames a(n) ion.	Is S0 true or false?	0
S0: Almost all other organisms obtain their energy, directly or indirectly, from the sun. So, most of the energy used by living things comes either directly or indirectly from the sun.	Is S0 true or false?	0
